                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.87133,                 2.7969,                 1.1743,                0.00133,                0.32895,                 0.0018,                0.00085,                  2.186,                    inf,                 6.3911,                 0.0705,              0.0032778,              0.0032778
                      1,                0.92986,                 2.0795,                 1.1704,                0.16861,                0.16228,                0.00725,                0.00221,                 2.6399,                    inf,                 2.9397,               0.040478,              0.0065893,              0.0065893
                      2,                0.89168,                 1.9192,                 1.1358,                 0.8405,                0.14035,                0.03657,                0.00705,                 3.0688,                 46.715,                 4.5979,               0.010434,              0.0098788,              0.0098788
                      3,                0.78592,                 1.8213,                 1.0822,                0.82983,                0.32018,                0.23253,                0.17598,                  0.688,                 7.0271,                 1.1155,               0.009901,               0.009901,               0.009901
                      4,                0.75317,                 1.7584,                 1.0542,                0.69153,                0.35878,                0.35162,                0.23479,                0.83705,                 2.8583,                 1.1874,               0.009901,               0.009901,               0.009901
                      5,                0.71874,                 1.7077,                 1.0497,                0.95832,                0.14474,                0.17352,                0.13586,                0.66864,                 4.0829,                 1.0612,               0.009868,               0.009868,               0.009868
                      6,                0.70273,                 1.6541,                 1.0429,                0.59476,                0.55928,                0.34138,                0.29263,                0.53177,                 2.5829,                0.94785,               0.009835,               0.009835,               0.009835
                      7,                0.70248,                 1.6547,                 1.0465,                0.66137,                0.48666,                0.46428,                0.40254,                0.55171,                 3.2028,                0.95503,               0.009802,               0.009802,               0.009802
                      8,                 0.7414,                 1.6378,                 1.0507,                0.59858,                0.62626,                0.41134,                0.35068,                0.59012,                 2.1208,                 1.0336,               0.009769,               0.009769,               0.009769
                      9,                0.69223,                 1.5857,                 1.0368,                0.46678,                0.77371,                0.48186,                 0.4178,                0.54323,                 1.8307,                0.94234,               0.009736,               0.009736,               0.009736
                     10,                0.69067,                 1.5795,                 1.0369,                0.60602,                0.77925,                0.57812,                0.47881,                0.54113,                 1.4252,                0.96515,               0.009703,               0.009703,               0.009703
                     11,                0.68532,                 1.5353,                 1.0358,                0.41414,                0.79237,                0.53198,                0.47134,                0.45835,                 1.5169,                0.91266,                0.00967,                0.00967,                0.00967
                     12,                0.68536,                 1.5312,                 1.0355,                0.58122,                0.73904,                0.53569,                 0.4527,                 0.5637,                 1.3858,                0.96433,               0.009637,               0.009637,               0.009637
                     13,                0.66218,                 1.5243,                   1.01,                0.47156,                 0.7213,                0.46559,                0.39226,                0.55377,                 1.8376,                0.97996,               0.009604,               0.009604,               0.009604
                     14,                0.64599,                 1.5507,                 1.0176,                0.37004,                 0.5871,                0.50922,                0.42761,                 0.5913,                   1.56,                 1.0091,               0.009571,               0.009571,               0.009571
                     15,                0.63555,                 1.4631,                 1.0085,                0.40603,                0.81283,                0.51686,                0.46397,                0.43928,                 1.3104,                0.92782,               0.009538,               0.009538,               0.009538
                     16,                0.60521,                   1.49,                0.99654,                0.60505,                0.55903,                0.41843,                  0.358,                0.58709,                  1.999,                 1.0037,               0.009505,               0.009505,               0.009505
                     17,                0.62365,                 1.4543,                 1.0055,                 0.5986,                0.78571,                0.54871,                0.47103,                0.50891,                 1.4658,                0.93335,               0.009472,               0.009472,               0.009472
                     18,                0.63507,                 1.4421,                 1.0154,                0.38738,                0.47446,                0.46416,                 0.3998,                 0.5163,                 2.3774,                0.98112,               0.009439,               0.009439,               0.009439
                     19,                0.64517,                 1.4384,                 1.0007,                0.34727,                0.80403,                0.50585,                0.45801,                0.47143,                 1.4467,                0.91613,               0.009406,               0.009406,               0.009406
                     20,                0.61842,                 1.3767,                 1.0117,                0.37372,                0.74268,                0.49411,                0.42235,                0.54085,                 1.7722,                0.94738,               0.009373,               0.009373,               0.009373
                     21,                0.59315,                 1.3753,                0.99572,                0.45983,                0.86005,                0.59739,                0.53227,                0.44619,                 1.4189,                0.90044,                0.00934,                0.00934,                0.00934
                     22,                0.59208,                 1.3135,                 1.0079,                0.40761,                0.50495,                0.53542,                 0.4726,                0.48654,                 1.9142,                0.94063,               0.009307,               0.009307,               0.009307
                     23,                0.59148,                 1.3747,                0.99432,                0.42478,                0.90371,                0.61141,                0.52833,                0.52603,                 1.6749,                 0.9202,               0.009274,               0.009274,               0.009274
                     24,                 0.5834,                 1.3302,                 0.9906,                0.47174,                0.75475,                0.56877,                0.51508,                0.43142,                  1.417,                0.88576,               0.009241,               0.009241,               0.009241
                     25,                0.58178,                 1.3712,                0.99141,                 0.5295,                0.81259,                0.57947,                0.51791,                0.46187,                 1.2885,                0.89445,               0.009208,               0.009208,               0.009208
                     26,                0.59429,                 1.3692,                0.99018,                0.39349,                0.57638,                0.55346,                0.47801,                  0.529,                 1.4371,                 1.0108,               0.009175,               0.009175,               0.009175
                     27,                0.55611,                 1.3308,                 0.9668,                0.48162,                0.76424,                0.57401,                0.51439,                0.49376,                 1.3544,                0.92388,               0.009142,               0.009142,               0.009142
                     28,                0.56777,                 1.3528,                0.97446,                0.45467,                0.78858,                0.57319,                 0.5211,                0.40383,                 1.3631,                0.87373,               0.009109,               0.009109,               0.009109
                     29,                0.59594,                 1.3204,                 1.0088,                0.37664,                0.80463,                0.52963,                0.46997,                0.44262,                 1.4532,                0.90049,               0.009076,               0.009076,               0.009076
                     30,                0.58808,                 1.3233,                0.98958,                0.47955,                0.82159,                 0.5974,                0.55033,                0.40341,                 1.2316,                0.87047,               0.009043,               0.009043,               0.009043
                     31,                0.58269,                 1.3738,                0.98824,                0.48753,                0.80074,                0.60011,                0.53829,                0.42199,                 1.3271,                0.87454,                0.00901,                0.00901,                0.00901
                     32,                0.61185,                   1.33,                 1.0067,                0.53511,                0.78349,                0.60291,                0.51856,                0.51123,                 1.3237,                0.97175,               0.008977,               0.008977,               0.008977
                     33,                0.56485,                 1.3076,                0.97986,                0.42916,                0.51309,                0.49274,                0.44308,                0.44766,                 1.9787,                 0.9091,               0.008944,               0.008944,               0.008944
                     34,                0.56354,                 1.2949,                0.98079,                0.44048,                0.81015,                0.56115,                0.50145,                0.41765,                 1.2433,                0.89314,               0.008911,               0.008911,               0.008911
                     35,                0.55058,                 1.2637,                0.96346,                 0.5681,                0.70344,                0.59838,                0.50054,                0.61621,                 1.2761,                 1.0783,               0.008878,               0.008878,               0.008878
                     36,                0.55821,                  1.267,                0.97374,                0.42941,                0.79494,                0.60779,                0.55853,                0.42598,                 1.1821,                0.89799,               0.008845,               0.008845,               0.008845
                     37,                0.55556,                  1.274,                0.96173,                0.54871,                0.83614,                0.61786,                0.54249,                0.49506,                 1.1711,                0.92861,               0.008812,               0.008812,               0.008812
                     38,                 0.5653,                 1.2836,                0.98089,                0.33832,                0.78959,                0.55301,                0.48628,                0.40198,                 1.8907,                0.87453,               0.008779,               0.008779,               0.008779
