                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1606,                 3.3259,                 1.4854,                      0,                      0,                      0,                      0,                      0,                    nan,                      0,                 0.0705,              0.0032778,              0.0032778
                      1,                 1.1668,                 2.6876,                  1.471,                0.00237,                0.17409,                0.00168,                0.00082,                 3.3248,                    inf,                 18.657,               0.040478,              0.0065893,              0.0065893
                      2,                 1.0639,                  2.528,                 1.3783,                0.33628,                0.06579,                0.00157,                 0.0003,                 4.1892,                    inf,                 19.929,               0.010434,              0.0098788,              0.0098788
                      3,                 0.9913,                 2.3612,                 1.3015,                0.53654,                 0.0614,                0.05853,                0.04513,                 1.0483,                 24.228,                 1.5101,               0.009901,               0.009901,               0.009901
                      4,                 0.9706,                   2.31,                 1.2954,                0.27345,                0.26627,                0.10411,                0.06458,                 2.0807,                 3.2175,                  3.007,               0.009901,               0.009901,               0.009901
                      5,                0.94009,                 2.2126,                 1.2654,                0.32336,                 0.6568,                0.22128,                0.17781,                0.81794,                 7.2595,                 1.3546,               0.009868,               0.009868,               0.009868
                      6,                0.92033,                 2.2479,                 1.2736,                0.34894,                0.65533,                0.26641,                 0.2211,                0.74036,                 3.5498,                 1.1864,               0.009835,               0.009835,               0.009835
                      7,                0.92804,                 2.1926,                 1.2615,                0.36317,                0.53941,                0.23187,                0.19789,                0.71633,                 3.2523,                 1.1739,               0.009802,               0.009802,               0.009802
                      8,                0.86505,                 2.1256,                 1.2331,                0.42877,                0.49636,                0.34806,                0.27819,                0.78082,                 2.1239,                 1.2176,               0.009769,               0.009769,               0.009769
                      9,                0.82648,                 2.0556,                 1.2343,                0.41782,                0.19933,                0.12432,                0.10493,                0.70456,                 5.7106,                 1.1628,               0.009736,               0.009736,               0.009736
                     10,                0.82158,                 2.0347,                 1.2171,                0.36751,                0.69355,                0.29908,                0.25822,                0.59226,                 2.1179,                 1.0561,               0.009703,               0.009703,               0.009703
                     11,                 0.8368,                 2.0292,                 1.2027,                0.32508,                0.56727,                0.24848,                0.21145,                 0.5843,                 2.1484,                 1.0753,                0.00967,                0.00967,                0.00967
                     12,                0.83279,                 1.9994,                 1.2131,                0.41552,                0.46148,                0.37716,                0.29909,                0.59311,                 2.0522,                 1.1455,               0.009637,               0.009637,               0.009637
                     13,                0.77835,                 1.9471,                 1.1823,                0.30378,                0.67375,                0.21764,                0.16899,                 0.5851,                 2.1926,                  1.041,               0.009604,               0.009604,               0.009604
                     14,                0.78992,                 1.9251,                 1.1728,                0.37239,                0.39932,                0.28766,                0.20816,                0.67835,                 2.1115,                 1.1497,               0.009571,               0.009571,               0.009571
                     15,                0.78232,                 1.8918,                 1.1762,                 0.3423,                0.61273,                0.31504,                0.26401,                0.56083,                 2.1022,                 1.0621,               0.009538,               0.009538,               0.009538
